patients,available_beds,TARGET_risk,TARGET_summary,TARGET_actions
53,6,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
84,74,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
241,83,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
98,79,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
66,3,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
221,5,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
269,57,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
207,21,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
270,25,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
95,2,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
166,40,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
55,59,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
148,13,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
173,74,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
282,81,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
86,11,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
73,86,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
142,11,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
290,12,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
95,24,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
230,44,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
144,18,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
148,54,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
237,99,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
274,44,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
165,7,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
240,92,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
262,52,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
209,54,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
264,31,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
210,50,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
116,43,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
177,81,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
67,69,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
74,17,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
283,82,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
272,21,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
103,36,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
107,95,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
116,55,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
153,58,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
223,2,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
73,27,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
163,73,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
81,34,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
224,60,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
135,92,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
200,53,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
243,62,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
176,78,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
204,96,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
283,6,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
179,75,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
267,48,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
66,93,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
153,84,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
210,30,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
186,57,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
92,60,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
295,23,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
225,19,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
88,36,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
270,3,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
219,91,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
296,19,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
75,59,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
148,23,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
99,49,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
202,48,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
201,50,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
62,95,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
109,35,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
299,97,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
184,99,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
106,65,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
85,78,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
222,33,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
69,35,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
114,5,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
57,38,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
287,41,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
193,57,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
191,11,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
253,2,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
164,17,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
264,39,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
192,20,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
141,14,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
147,96,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
115,98,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
81,25,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
264,7,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
240,99,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
135,93,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
100,86,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
202,41,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
235,43,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
112,13,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
239,77,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
174,1,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
199,36,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
107,68,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
107,37,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
135,40,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
98,61,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
229,59,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
219,13,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
119,88,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
64,83,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
103,1,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
284,69,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
237,16,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
150,88,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
274,27,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
57,65,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
102,34,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
109,4,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
285,64,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
157,39,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
54,75,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
152,55,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
245,35,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
55,44,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
158,22,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
273,46,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
165,30,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
143,10,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
96,9,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
148,66,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
104,13,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
217,79,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
101,73,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
193,92,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
62,9,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
163,75,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
173,93,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
155,0,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
207,4,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
196,19,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
194,7,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
169,42,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
112,75,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
68,0,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
141,56,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
107,63,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
232,83,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
139,27,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
278,36,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
267,46,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
166,75,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
111,36,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
72,48,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
176,43,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
186,55,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
189,27,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
294,78,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
178,5,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
107,60,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
171,19,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
50,77,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
288,1,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
83,72,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
145,36,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
175,19,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
167,25,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
97,28,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
138,0,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
281,34,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
286,69,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
166,58,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
178,68,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
65,32,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
238,50,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
280,77,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
241,11,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
240,19,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
118,52,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
71,87,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
142,42,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
296,97,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
244,88,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
125,49,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
203,28,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
193,56,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
228,38,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
278,94,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
135,55,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
234,42,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
78,49,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
255,22,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
269,43,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
118,37,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
96,83,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
290,22,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
143,44,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
287,51,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
239,79,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
293,49,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
246,7,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
253,84,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
193,0,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
267,7,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
267,28,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
225,95,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
134,4,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
88,85,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
149,46,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
82,33,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
271,64,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
150,54,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
72,89,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
299,42,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
59,73,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
295,29,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
118,81,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
149,16,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
83,25,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
229,7,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
272,46,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
187,75,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
299,90,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
196,71,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
235,88,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
145,45,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
50,67,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
297,32,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
118,0,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
286,18,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
53,30,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
65,79,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
73,13,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
129,52,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
296,47,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
51,68,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
290,89,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
269,61,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
177,91,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
209,65,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
268,63,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
133,69,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
201,62,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
189,72,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
227,32,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
212,40,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
173,88,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
82,47,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
210,12,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
238,72,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
228,76,Medium,Elevated load. Bed capacity is nearing limits.,"[""Monitor ED wait times"", ""Prepare overflow areas""]"
220,30,High,Severe resource constraint. High patient volume compared to available beds.,"[""Activate surge protocol"", ""Delay elective surgeries""]"
150,74,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
61,67,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
116,97,Low,Hospital load is manageable. Resources are adequate.,"[""Maintain current staffing"", ""Standard operations""]"
